-----------------COUNT WORDS-------------------
-----------------------------------------------
820626 words be counted!Details are as follow:
no.              word       time      frequency
-----------------------------------------------
    1                 the   65811    8.019609%
    2                 and   44979    5.481060%
    3                  of   37898    4.618182%
    4                  to   26504    3.229729%
    5                  in   15146    1.845664%
    6                 you   12092    1.473509%
    7                 for   12020    1.464735%
    8                will   10698    1.303639%
    9                  is   10308    1.256114%
   10                 his    9336    1.137668%
   11                  he    9147    1.114637%
   12                  be    9128    1.112322%
   13                your    7849    0.956465%
   14                have    7107    0.866046%
   15                  on    6955    0.847524%
   16                lord    6743    0.821690%
   17                 not    6119    0.745650%
   18                they    6100    0.743335%
   19                with    5991    0.730052%
   20                 are    5931    0.722741%
   21                  it    5894    0.718232%
   22                 was    5860    0.714089%
   23                 all    5837    0.711286%
   24                  my    5664    0.690205%
   25                 who    5657    0.689352%
   26                said    5584    0.680456%
   27                from    5544    0.675582%
   28                that    5541    0.675216%
   29                 him    5347    0.651576%
   30               their    4988    0.607829%
   31                them    4709    0.573830%
   32                 put    4517    0.550433%
   33                 but    4477    0.545559%
   34                give    4125    0.502665%
   35                  by    4071    0.496085%
   36                  so    3923    0.478050%
   37                 has    3787    0.461477%
   38                 had    3682    0.448682%
   39               which    3659    0.445879%
   40                made    3608    0.439664%
   41                 god    3556    0.433328%
   42                come    3553    0.432962%
   43                were    3456    0.421142%
   44                  me    3389    0.412977%
   45                this    3374    0.411150%
   46                  as    3357    0.409078%
   47                  no    3316    0.404082%
   48                  up    3137    0.382269%
   49                 let    3073    0.374470%
   50                 out    2965    0.361310%
   51                  go    2884    0.351439%
   52                when    2858    0.348271%
   53                make    2781    0.338888%
   54                 man    2747    0.334744%
   55                came    2730    0.332673%
   56                then    2725    0.332064%
   57                take    2632    0.320731%
   58                went    2521    0.307204%
   59               there    2447    0.298187%
   60                 one    2340    0.285148%
   61              people    2301    0.280396%
   62                 son    2300    0.280274%
   63                 may    2298    0.280030%
   64                king    2288    0.278812%
   65                gave    2181    0.265773%
   66                  do    2158    0.262970%
   67              israel    2125    0.258949%
   68                into    2098    0.255658%
   69                  or    2081    0.253587%
   70                  if    2080    0.253465%
   71                land    1968    0.239817%
   72                  an    1964    0.239329%
   73              before    1953    0.237989%
   74               those    1949    0.237502%
   75                  at    1947    0.237258%
   76                 men    1939    0.236283%
   77             because    1885    0.229703%
   78                 now    1859    0.226534%
   79                what    1859    0.226534%
   80             against    1845    0.224828%
   81                 her    1833    0.223366%
   82                away    1753    0.213617%
   83               given    1749    0.213130%
   84                took    1745    0.212643%
   85            children    1744    0.212521%
   86                 say    1734    0.211302%
   87                 see    1654    0.201553%
   88                been    1652    0.201310%
   89                  we    1641    0.199969%
   90               great    1537    0.187296%
   91               house    1523    0.185590%
   92                like    1450    0.176694%
   93               death    1425    0.173648%
   94                 day    1416    0.172551%
   95               these    1398    0.170358%
   96               place    1378    0.167921%
   97                 our    1368    0.166702%
   98               after    1366    0.166458%
   99                back    1343    0.163656%
  100                  am    1292    0.157441%
  101                  us    1292    0.157441%
  102                evil    1268    0.154516%
  103                sent    1237    0.150739%
  104                down    1205    0.146839%
  105              things    1204    0.146717%
  106                keep    1196    0.145742%
  107               every    1188    0.144768%
  108                sons    1180    0.143793%
  109                 did    1134    0.138187%
  110                holy    1122    0.136725%
  111                over    1093    0.133191%
  112               earth    1070    0.130388%
  113               among    1051    0.128073%
  114                word    1046    0.127464%
  115                 its    1041    0.126854%
  116              father    1022    0.124539%
  117               taken    1019    0.124173%
  118              living    1015    0.123686%
  119                good    1005    0.122467%
  120                 way     989    0.120518%
  121                 get     982    0.119665%
  122               about     977    0.119055%
  123               words     977    0.119055%
  124                even     951    0.115887%
  125                 she     946    0.115278%
  126                food     944    0.115034%
  127               david     938    0.114303%
  128           knowledge     924    0.112597%
  129                time     911    0.111013%
  130             without     889    0.108332%
  131                name     882    0.107479%
  132               jesus     861    0.104920%
  133             through     850    0.103579%
  134                fear     841    0.102483%
  135                says     832    0.101386%
  136                done     832    0.101386%
  137              saying     831    0.101264%
  138                 saw     826    0.100655%
  139                town     820    0.099924%
  140                full     816    0.099436%
  141                 two     815    0.099314%
  142                hand     782    0.095293%
  143                whom     781    0.095171%
  144            offering     775    0.094440%
  145                life     765    0.093222%
  146               right     748    0.091150%
  147               hands     737    0.089809%
  148                send     737    0.089809%
  149               heart     729    0.088835%
  150                 any     725    0.088347%
  151                eyes     722    0.087982%
  152               judah     713    0.086885%
  153                 got     695    0.084691%
  154               faith     690    0.084082%
  155               moses     687    0.083717%
  156               where     683    0.083229%
  157              orders     677    0.082498%
  158            servants     676    0.082376%
  159               again     669    0.081523%
  160               whose     661    0.080548%
  161            together     659    0.080305%
  162             servant     658    0.080183%
  163           jerusalem     652    0.079452%
  164               would     646    0.078720%
  165                than     642    0.078233%
  166                days     642    0.078233%
  167               kings     641    0.078111%
  168               waste     628    0.076527%
  169                 ear     618    0.075308%
  170                 end     617    0.075187%
  171                till     611    0.074455%
  172               cause     601    0.073237%
  173               first     600    0.073115%
  174                rest     598    0.072871%
  175                work     589    0.071774%
  176                kept     589    0.071774%
  177              turned     588    0.071653%
  178             fathers     582    0.070921%
  179                 how     570    0.069459%
  180               clear     569    0.069337%
  181                side     568    0.069215%
  182         destruction     566    0.068972%
  183             hundred     562    0.068484%
  184              strong     562    0.068484%
  185                gone     561    0.068362%
  186                only     560    0.068241%
  187               other     554    0.067509%
  188              spirit     550    0.067022%
  189                more     546    0.066535%
  190                seen     544    0.066291%
  191                high     529    0.064463%
  192               power     526    0.064097%
  193               comes     525    0.063976%
  194              answer     525    0.063976%
  195                able     524    0.063854%
  196               under     524    0.063854%
  197               might     523    0.063732%
  198              heaven     517    0.063001%
  199              number     515    0.062757%
  200            brothers     513    0.062513%
  201              burned     499    0.060807%
  202             himself     497    0.060564%
  203               round     494    0.060198%
  204               voice     490    0.059711%
  205                 sin     490    0.059711%
  206                face     485    0.059101%
  207               egypt     483    0.058858%
  208                true     482    0.058736%
  209               glory     482    0.058736%
  210              became     478    0.058248%
  211                 law     470    0.057273%
  212                fire     467    0.056908%
  213            thousand     466    0.056786%
  214             another     465    0.056664%
  215               young     461    0.056177%
  216               years     458    0.055811%
  217                ever     458    0.055811%
  218               false     454    0.055324%
  219              priest     454    0.055324%
  220                part     453    0.055202%
  221             certain     451    0.054958%
  222                 why     447    0.054471%
  223               three     447    0.054471%
  224                some     444    0.054105%
  225             nations     444    0.054105%
  226             priests     444    0.054105%
  227               gives     443    0.053983%
  228                 off     442    0.053861%
  229               still     441    0.053739%
  230                dead     429    0.052277%
  231               seven     429    0.052277%
  232                love     422    0.051424%
  233                gold     421    0.051302%
  234               towns     420    0.051180%
  235                near     418    0.050937%
  236                same     418    0.050937%
  237                news     416    0.050693%
  238              become     416    0.050693%
  239              broken     415    0.050571%
  240               woman     415    0.050571%
  241              praise     412    0.050206%
  242               wrath     408    0.049718%
  243                 war     408    0.049718%
  244           offerings     407    0.049596%
  245               truly     405    0.049353%
  246               going     405    0.049353%
  247                 cut     405    0.049353%
  248             nothing     404    0.049231%
  249              desire     402    0.048987%
  250                body     400    0.048743%
  251             looking     397    0.048378%
  252             unclean     396    0.048256%
  253              christ     395    0.048134%
  254                gods     391    0.047647%
  255               mercy     387    0.047159%
  256              coming     387    0.047159%
  257               water     386    0.047037%
  258            heritage     385    0.046915%
  259                does     376    0.045819%
  260               while     374    0.045575%
  261                year     373    0.045453%
  262              family     370    0.045088%
  263               sword     369    0.044966%
  264              making     366    0.044600%
  265              prayer     365    0.044478%
  266                long     363    0.044235%
  267                 old     362    0.044113%
  268                care     361    0.043991%
  269               blood     361    0.043991%
  270             kingdom     360    0.043869%
  271                goes     359    0.043747%
  272                 far     357    0.043503%
  273              giving     357    0.043503%
  274               flesh     356    0.043382%
  275                head     353    0.043016%
  276                mind     353    0.043016%
  277               sheep     352    0.042894%
  278             purpose     352    0.042894%
  279                wife     350    0.042650%
  280               ready     350    0.042650%
  281          punishment     350    0.042650%
  282                open     345    0.042041%
  283               chief     344    0.041919%
  284             upright     344    0.041919%
  285                saul     342    0.041676%
  286               makes     342    0.041676%
  287                free     340    0.041432%
  288           agreement     340    0.041432%
  289                well     338    0.041188%
  290              having     336    0.040944%
  291                ears     335    0.040822%
  292             hearing     333    0.040579%
  293              places     332    0.040457%
  294             burning     331    0.040335%
  295               lords     328    0.039969%
  296       righteousness     326    0.039726%
  297          themselves     326    0.039726%
  298                very     326    0.039726%
  299                ways     326    0.039726%
  300                 sea     324    0.039482%
  301                safe     323    0.039360%
  302               order     320    0.038995%
  303               shame     320    0.038995%
  304               jacob     319    0.038873%
  305            blessing     319    0.038873%
  306               altar     319    0.038873%
  307               being     317    0.038629%
  308             trouble     316    0.038507%
  309            strength     313    0.038142%
  310                 joy     313    0.038142%
  311              flight     311    0.037898%
  312             brother     309    0.037654%
  313              hearts     308    0.037532%
  314               thing     307    0.037410%
  315                need     307    0.037410%
  316               mouth     305    0.037167%
  317               takes     303    0.036923%
  318              silver     302    0.036801%
  319              armies     301    0.036679%
  320                army     300    0.036557%
  321               birth     300    0.036557%
  322                meal     298    0.036314%
  323                tent     297    0.036192%
  324               bread     295    0.035948%
  325              secret     292    0.035583%
  326               peace     292    0.035583%
  327               named     291    0.035461%
  328               aaron     290    0.035339%
  329            daughter     289    0.035217%
  330                here     288    0.035095%
  331             prophet     288    0.035095%
  332           salvation     287    0.034973%
  333                feet     287    0.034973%
  334            teaching     285    0.034730%
  335               light     285    0.034730%
  336             turning     284    0.034608%
  337                wise     280    0.034120%
  338               night     280    0.034120%
  339                such     278    0.033877%
  340              lifted     277    0.033755%
  341               child     277    0.033755%
  342            overcome     277    0.033755%
  343                seed     274    0.033389%
  344                oath     274    0.033389%
  345              wealth     274    0.033389%
  346               ruler     273    0.033267%
  347              taking     273    0.033267%
  348             country     270    0.032902%
  349                four     269    0.032780%
  350             witness     268    0.032658%
  351               grain     265    0.032292%
  352             meeting     262    0.031927%
  353               clean     261    0.031805%
  354               never     259    0.031561%
  355                much     258    0.031439%
  356             worship     258    0.031439%
  357                 oil     257    0.031318%
  358              honour     255    0.031074%
  359                 cry     254    0.030952%
  360              wisdom     254    0.030952%
  361                soul     252    0.030708%
  362                five     251    0.030586%
  363              rulers     250    0.030465%
  364              though     250    0.030465%
  365            prophets     249    0.030343%
  366                glad     249    0.030343%
  367               times     249    0.030343%
  368            families     248    0.030221%
  369              little     247    0.030099%
  370             between     247    0.030099%
  371             waiting     246    0.029977%
  372                wine     245    0.029855%
  373             solomon     243    0.029612%
  374              waters     242    0.029490%
  375          everything     242    0.029490%
  376                help     241    0.029368%
  377               tents     240    0.029246%
  378              seated     240    0.029246%
  379            pleasure     238    0.029002%
  380              mother     238    0.029002%
  381               pride     236    0.028759%
  382            clothing     235    0.028637%
  383               wrong     235    0.028637%
  384               drink     235    0.028637%
  385             levites     234    0.028515%
  386               fruit     233    0.028393%
  387                jews     231    0.028149%
